name,path,hand,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,Reviewer6,Reviewer7,Reviewer8,Reviewer9,Reviewer10,Reviewer11,Reviewer12,Reviewer13,Reviewer14,Reviewer15,Reviewer16,Reviewer17
Developing Experience (years),,,12,10,6,8,7,12,7,11,8,8,,,,,,,
BarcodeGraphic.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/barcodescanner/BarcodeGraphic.java,3.823529412,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,3
BaseEntryChoiceActivity.java,android/internal/chooserx/src/main/java/com/mlkit/example/internal/BaseEntryChoiceActivity.java,3.882352941,4,5,3,3,4,5,5,5,5,3,4,4,3,3,4,3,3
BitmapUtils.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/BitmapUtils.java,2.705882353,2,3,4,3,3,3,1,3,2,3,3,3,2,3,3,3,2
CameraImageGraphic.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/CameraImageGraphic.java,4.294117647,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4
CameraSource.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/CameraSource.java,4.117647059,5,5,5,4,5,4,3,5,3,3,4,4,4,4,4,4,4
CameraXLivePreviewActivity.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/CameraXLivePreviewActivity.java,2.823529412,3,3,3,4,3,3,3,3,2,3,3,2,3,4,2,2,2
ChatFragment.java,android/smartreply/app/src/main/java/com/google/mlkit/samples/nl/smartreply/java/chat/ChatFragment.java,3.117647059,4,3,3,4,3,3,4,3,2,3,3,3,3,3,3,3,3
ChooserActivity.java,android/automl/app/src/main/java/com/google/mlkit/vision/automl/demo/ChooserActivity.java,2.764705882,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2
ClassificationResult.java,android/vision-quickstart/app/src/main/java/com/google/mlkit/vision/demo/java/posedetector/classification/ClassificationResult.java,3.352941176,3,3,2,3,3,4,5,4,3,3,4,4,4,3,3,3,3
